full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Michael Bradley,31,FIFA World Cup 2014 Brazil,2014,Midfielder,USMNT,360,180,180,USA,4,2,2,0,0,0,1,0,1,0,0,0,0,0,3,2,1,0,0,0.25,0.25,0,0,0,0,0.75,120,90,0,360,0,90,34,-1,7
Andrea Pirlo,39,FIFA World Cup 2014 Brazil,2014,Midfielder,Italy,270,180,90,Italy,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,12
David Villa,36,FIFA World Cup 2014 Brazil,2014,Forward,Spain,56,0,56,Spain,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1.61,0,1.61,0,1.61,56,0,0,56,0,0,0,-1,-1,-1,2
Kyle Beckerman,36,FIFA World Cup 2014 Brazil,2014,Midfielder,USMNT,270,180,90,USA,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,1,90,90,270,0,0.33,-1,-1,-1,8
Víctor Salvador Bernárdez Blanco,36,FIFA World Cup 2014 Brazil,2014,Defender,Honduras,226,180,46,Honduras,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,5,1,1,0,0,0,0,0,0,0,2.39,38,75,226,0,0.4,-1,-1,-1,5
DaMarcus Beasley,36,FIFA World Cup 2014 Brazil,2014,Defender,USMNT,360,180,180,USA,4,2,2,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0.75,120,90,0,0,0,93,86,50,4
Óscar Boniek García Ramírez,34,FIFA World Cup 2014 Brazil,2014,Midfielder,Honduras,203,159,44,Honduras,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,1,0,0,0,0,0,0,0,3.1,29,68,203,0,0.44,-1,-1,-1,12
Maynor Alexis Figueroa Róchez,35,FIFA World Cup 2014 Brazil,2014,Defender,Honduras,270,180,90,Honduras,3,2,1,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0,0,0,0,0,0,2.67,34,90,0,0,0,-1,-1,-1,3
Carlos Armando Gruezo Arboleda,23,FIFA World Cup 2014 Brazil,2014,Midfielder,Ecuador,97,0,97,Ecuador,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.93,97,49,0,0,0,-1,-1,-1,10
Adam Kwarasey,30,FIFA World Cup 2014 Brazil,2014,Goalkeeper,Ghana,90,90,0,Ghana,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,3
