team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored
Switzerland National Team,Switzerland,2014,Switzerland,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,2,0,0,12,7,7,0,14,10,4,4,3,6,1,-2,2,51
Spain National Team,Spain,2014,Spain,3,2,1,0,1,0,1,0,0,0,2,2,0,1,0,3,3,0,0,23,4,7,-3,11,8,3,1,3,7,0,-6,3,68
Portugal National Team,Portugal,2014,Portugal,3,1,2,0,1,1,0,1,0,1,1,0,1,1.33,3,0.5,3,0,0,15,4,7,-3,11,3,8,2,2,1,6,1,-4,68
Germany National Team,Germany,2014,Germany,7,4,3,0,6,3,3,1,1,0,0,0,0,2.71,2.5,3,1,0,0,1,18,4,14,22,12,10,9,9,3,1,6,8,35
England National Team,England,2014,England,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,27,2,4,-2,6,3,3,1,1,2,2,-1,-1,134
Greece National Team,Greece,2014,Greece,4,1,3,0,1,1,0,2,0,2,1,0,1,1.25,3,0.67,2,0,0,13,3,5,-2,8,3,5,2,1,1,4,1,-3,120
Italy National Team,Italy,2014,Italy,3,2,1,0,1,0,1,0,0,0,2,2,0,1,0,3,3,0,0,20,2,3,-1,5,2,3,0,2,2,1,-2,1,134
Belgium National Team,Belgium,2014,Belgium,5,3,2,0,4,3,1,0,0,0,1,0,1,2.4,3,1.5,1,0,0,5,6,3,3,9,7,2,5,1,2,1,3,0,75
Netherlands National Team,Netherlands,2014,Netherlands,7,4,3,0,5,2,3,2,2,0,0,0,0,2.43,2,3,1,0,0,2,15,4,11,19,5,14,4,11,1,3,3,8,42
France National Team,France,2014,France,5,3,2,0,3,2,1,1,0,1,1,1,0,2,2,2,1,0,0,7,10,3,7,13,6,7,5,5,1,2,4,3,45
Croatia National Team,Croatia,2014,Croatia,3,1,2,0,1,0,1,0,0,0,2,1,1,1,0,1.5,3,0,0,21,6,6,0,12,4,8,1,5,3,3,-2,2,45
Bosnia-Herzegovina National Team,Bosnia-Herzegovina,2014,Bosnia and Herzegovina,3,1,2,0,1,1,0,0,0,0,2,0,2,1,3,0,3,0,0,22,4,4,0,8,4,4,3,1,1,3,2,-2,68
Japan National Team,Japan,2014,Japan,3,2,1,0,0,0,0,1,1,0,2,1,1,0.33,0.5,0,4,0,0,29,2,6,-4,8,5,3,1,1,4,2,-3,-1,134
Australia National Team,Australia,2014,Australia,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,4,0,0,30,3,9,-6,12,8,4,2,1,6,3,-4,-2,90
Iran National Team,Iran,2014,Iran,3,1,2,0,0,0,0,1,1,0,2,0,2,0.33,1,0,4,0,0,28,1,4,-3,5,0,5,0,1,0,4,0,-3,273
South Korea National Team,South Korea,2014,South Korea,3,2,1,0,0,0,0,1,0,1,2,2,0,0.33,0,1,4,0,0,26,3,6,-3,9,7,2,2,1,5,1,-3,0,90
Ivory Coast National Team,Ivory Coast,2014,Ivory Coast,3,1,2,0,1,1,0,0,0,0,2,0,2,1,3,0,3,0,0,19,4,5,-1,9,3,6,2,2,1,4,1,-2,68
Argentina National Team,Argentina,2014,Argentina,7,4,3,0,5,4,1,1,0,1,1,0,1,2.29,3,1.33,1,0,0,3,8,4,4,12,6,6,5,3,1,3,4,0,79
Russia National Team,Russia,2014,Russia,3,1,2,0,0,0,0,2,1,1,1,0,1,0.67,1,0.5,3,0,0,24,2,3,-1,5,2,3,1,1,1,2,0,-1,134
Uruguay National Team,Uruguay,2014,Uruguay,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,2,0,0,11,4,6,-2,10,7,3,3,1,4,2,-1,-1,90
Ecuador National Team,Ecuador,2014,Ecuador,3,1,2,0,1,0,1,1,1,0,1,0,1,1.33,1,1.5,3,0,0,14,3,3,0,6,0,6,0,3,0,3,0,0,90
Ghana National Team,Ghana,2014,Ghana,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,25,4,6,-2,10,3,7,1,3,2,4,-1,-1,68
Brazil National Team,Brazil,2014,Brazil,7,6,1,0,3,2,1,2,2,0,2,2,0,1.57,1.33,3,1,0,0,6,11,14,-3,25,20,5,7,4,13,1,-6,3,57
Nigeria National Team,Nigeria,2014,Nigeria,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,2,0,0,18,3,5,-2,8,6,2,3,0,3,2,0,-2,120
United States Men's National Team,USMNT,2014,USA,4,2,2,0,1,0,1,1,1,0,2,1,1,1,0.5,1.5,2,0,0,17,5,6,-1,11,5,6,2,3,3,3,-1,0,72
Honduras National Team,Honduras,2014,Honduras,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,4,0,0,31,1,8,-7,9,6,3,1,0,5,3,-4,-3,273
Cameroon National Team,Cameroon,2014,Cameroon,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,4,0,0,32,1,9,-8,10,9,1,1,0,8,1,-7,-1,273
Mexico National Team,Mexico,2014,Mexico,4,1,3,0,2,1,1,1,0,1,1,0,1,1.75,3,1.33,2,0,0,10,5,3,2,8,1,7,1,4,0,3,1,1,72
Algeria National Team,Algeria,2014,Algeria,4,1,3,0,1,0,1,1,1,0,2,0,2,1,1,1,2,0,0,16,7,7,0,14,2,12,1,6,1,6,0,0,51
Chile National Team,Chile,2014,Chile,4,1,3,0,2,1,1,1,0,1,1,0,1,1.75,3,1.33,2,0,0,9,6,4,2,10,4,6,3,3,1,3,2,0,60
Colombia National Team,Colombia,2014,Colombia,5,3,2,0,4,3,1,0,0,0,1,0,1,2.4,3,1.5,1,0,0,4,12,4,8,16,8,8,7,5,1,3,6,2,38
Costa Rica National Team,Costa Rica,2014,Costa Rica,5,2,3,0,2,0,2,3,2,1,0,0,0,1.8,1,2.33,1,0,0,8,5,2,3,7,2,5,1,4,1,1,0,3,90
